,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusValue,testStation,totalDocks,PUMA
72,,8,16,,295,,2019-01-18 02:43:25 PM,40.71406667,,-73.99293911,,Pike St & E Broadway,,Pike St & E Broadway,In Service,False,24,3809.0
73,,29,5,,296,,2019-01-18 02:44:28 PM,40.71413089,,-73.99704679999999,,Division St & Bowery,,Division St & Bowery,In Service,False,35,3809.0
74,,7,20,,297,,2019-01-18 02:46:15 PM,40.734232,,-73.986923,,E 15 St & 3 Ave,,E 15 St & 3 Ave,In Service,False,27,3808.0
75,,12,21,,298,,2019-01-18 02:43:27 PM,40.68683208,,-73.9796772,,3 Ave & Schermerhorn St,,3 Ave & Schermerhorn St,In Service,False,35,4004.0
76,,7,29,,301,,2019-01-18 02:43:12 PM,40.72217444,,-73.98368779,,E 2 St & Avenue B,,E 2 St & Avenue B,In Service,False,37,3809.0
77,,1,22,,302,,2019-01-18 02:43:45 PM,40.72082834,,-73.97793172,,Avenue D & E 3 St,,Avenue D & E 3 St,In Service,False,23,3809.0
78,,26,3,,303,,2019-01-18 02:42:49 PM,40.72362738,,-73.99949601,,Mercer St & Spring St,,Mercer St & Spring St,In Service,False,31,3810.0
79,,18,14,,305,,2019-01-18 02:44:56 PM,40.76095756,,-73.96724467,,E 58 St & 3 Ave,,E 58 St & 3 Ave,In Service,False,33,3808.0
80,,5,25,,307,,2019-01-18 02:45:41 PM,40.71427487,,-73.98990025,,Canal St & Rutgers St,,Canal St & Rutgers St,In Service,False,30,3809.0
81,,24,3,,308,,2019-01-18 02:44:12 PM,40.71307916,,-73.99851193,,St James Pl & Oliver St,,St James Pl & Oliver St,In Service,False,27,3809.0
82,,33,5,,309,,2019-01-18 02:45:44 PM,40.7149787,,-74.013012,,Murray St & West St,,Murray St & West St,In Service,False,41,3810.0
83,,26,6,,310,,2019-01-18 02:44:48 PM,40.68926942,,-73.98912867,,State St & Smith St,,State St & Smith St,In Service,False,36,4004.0
84,,3,26,,311,,2019-01-18 02:45:19 PM,40.7172274,,-73.98802084,,Norfolk St & Broome St,,Norfolk St & Broome St,In Service,False,31,3809.0
85,,17,12,,312,,2019-01-18 02:44:48 PM,40.722055,,-73.989111,,Allen St & Stanton St,,Allen St & Stanton St,In Service,False,31,3809.0
86,,19,2,,313,,2019-01-18 02:45:57 PM,40.69610226,,-73.96751037,,Washington Ave & Park Ave,,Washington Ave & Park Ave,In Service,False,23,4004.0
87,,15,23,,314,,2019-01-18 02:44:56 PM,40.69383,,-73.990539,,Cadman Plaza West & Montague St,,Cadman Plaza West & Montague St,In Service,False,39,4004.0
88,,19,10,,315,,2019-01-18 02:41:35 PM,40.70355377,,-74.00670227,,South St & Gouverneur Ln,,South St & Gouverneur Ln,In Service,False,29,3810.0
89,,33,8,,316,,2019-01-18 02:46:18 PM,40.70955958,,-74.00653609,,Fulton St & William St,,Fulton St & William St,In Service,False,43,3810.0
90,,5,22,,317,,2019-01-18 02:43:59 PM,40.72453734,,-73.98185424,,E 6 St & Avenue B,,E 6 St & Avenue B,In Service,False,27,3809.0
91,,27,6,,319,,2019-01-18 02:46:13 PM,40.711065999999995,,-74.009447,,Fulton St & Broadway,,Fulton St & Broadway,In Service,False,33,3810.0
92,,16,9,,320,,2019-01-18 02:43:10 PM,40.717571,,-74.005549,,Leonard St & Church St,,Leonard St & Church St,In Service,False,27,3810.0
93,,16,11,,321,,2019-01-18 02:42:40 PM,40.69991755,,-73.98971773,,Cadman Plaza E & Red Cross Pl,,Cadman Plaza E & Red Cross Pl,In Service,False,27,4004.0
94,,0,3,,322,,2018-11-30 10:26:00 AM,40.696191999999996,,-73.991218,,Clinton St & Tillary St,,Clinton St & Tillary St,Not In Service,False,3,4004.0
95,,37,2,,323,,2019-01-18 02:43:50 PM,40.69236178,,-73.98631746,,Lawrence St & Willoughby St,,Lawrence St & Willoughby St,In Service,False,39,4004.0
96,,38,12,,324,,2019-01-18 02:46:19 PM,40.689888,,-73.981013,,DeKalb Ave & Hudson Ave,,DeKalb Ave & Hudson Ave,In Service,False,51,4004.0
97,,6,28,,325,,2019-01-18 02:45:12 PM,40.73624527,,-73.98473765,,E 19 St & 3 Ave,,E 19 St & 3 Ave,In Service,False,36,3808.0
